repo,pr_id,ast_node_count,cfg_node_count,ast_density,cfg_density
pytorch/pytorch,188563,21,16,1.9090909090909092,1.4545454545454546
pytorch/pytorch,188562,8,8,1.1428571428571428,1.1428571428571428
pytorch/pytorch,188560,115,115,1.4935064935064934,1.4935064935064934
pytorch/pytorch,188559,45,45,4.090909090909091,4.090909090909091
pytorch/pytorch,188558,120,120,0.8955223880597015,0.8955223880597015
pytorch/pytorch,188556,203,203,4.72093023255814,4.72093023255814
pytorch/pytorch,188555,79,79,4.647058823529412,4.647058823529412
pytorch/pytorch,188554,1735,1698,3.6914893617021276,3.6127659574468085
pytorch/pytorch,188552,2,2,1.0,1.0
pytorch/pytorch,188551,15,15,1.0,1.0
pytorch/pytorch,188550,1,1,1.0,1.0
pytorch/pytorch,188549,28,22,1.6470588235294117,1.2941176470588236
pytorch/pytorch,188548,233,226,2.9871794871794872,2.8974358974358974
pytorch/pytorch,188546,530,530,5.955056179775281,5.955056179775281
pytorch/pytorch,188543,2,2,2.0,2.0
pytorch/pytorch,188540,37,37,6.166666666666667,6.166666666666667
pytorch/pytorch,188539,31,27,1.24,1.08
pytorch/pytorch,188537,16,16,8.0,8.0
pytorch/pytorch,188535,128,128,0.8590604026845637,0.8590604026845637
pytorch/pytorch,188534,1,1,1.0,1.0
pytorch/pytorch,188533,250,250,4.901960784313726,4.901960784313726
pytorch/pytorch,188532,66,66,1.8857142857142857,1.8857142857142857
pytorch/pytorch,188531,94,94,4.7,4.7
pytorch/pytorch,188530,3,3,3.0,3.0
pytorch/pytorch,188529,24,23,1.0434782608695652,1.0
pytorch/pytorch,188528,87,87,6.6923076923076925,6.6923076923076925
pytorch/pytorch,188527,78,78,0.8571428571428571,0.8571428571428571
pytorch/pytorch,188526,47,47,5.222222222222222,5.222222222222222
pytorch/pytorch,188525,23,23,0.92,0.92
pytorch/pytorch,188524,29,29,0.8787878787878788,0.8787878787878788
pytorch/pytorch,188523,1241,1241,7.011299435028248,7.011299435028248
pytorch/pytorch,188522,5887,5887,5.834489593657087,5.834489593657087
pytorch/pytorch,188521,27,27,1.0,1.0
pytorch/pytorch,188518,18,13,2.25,1.625
pytorch/pytorch,188517,69,69,1.7692307692307692,1.7692307692307692
pytorch/pytorch,188516,49,49,1.4,1.4
pytorch/pytorch,188511,6,4,3.0,2.0
pytorch/pytorch,188509,7,7,7.0,7.0
pytorch/pytorch,188508,30,28,1.1111111111111112,1.037037037037037
pytorch/pytorch,188507,5,5,1.0,1.0
pytorch/pytorch,188506,1,1,1.0,1.0
pytorch/pytorch,188505,82,79,1.7446808510638299,1.6808510638297873
pytorch/pytorch,188504,5,5,1.0,1.0
pytorch/pytorch,188502,30,30,0.9375,0.9375
pytorch/pytorch,188501,37,37,0.9487179487179487,0.9487179487179487
pytorch/pytorch,188500,1428,1427,1.8331193838254172,1.8318356867779204
pytorch/pytorch,188499,29,29,0.9354838709677419,0.9354838709677419
pytorch/pytorch,188498,31,31,0.9393939393939394,0.9393939393939394
pytorch/pytorch,188497,82,82,1.7826086956521738,1.7826086956521738
pytorch/pytorch,188495,30,30,0.8823529411764706,0.8823529411764706
pytorch/pytorch,188494,12,10,1.5,1.25
pytorch/pytorch,188493,79,79,1.253968253968254,1.253968253968254
pytorch/pytorch,188491,305,305,6.777777777777778,6.777777777777778
pytorch/pytorch,188489,57,57,1.0555555555555556,1.0555555555555556
pytorch/pytorch,188488,26,26,2.1666666666666665,2.1666666666666665
pytorch/pytorch,188487,228,228,2.7142857142857144,2.7142857142857144
pytorch/pytorch,188486,81,81,1.173913043478261,1.173913043478261
pytorch/pytorch,188485,336,319,3.8620689655172415,3.6666666666666665
pytorch/pytorch,188484,170,160,1.0828025477707006,1.019108280254777
pytorch/pytorch,188483,1050,933,2.5240384615384617,2.2427884615384617
pytorch/pytorch,188480,1999,1999,3.8891050583657587,3.8891050583657587
pytorch/pytorch,188479,1747,1747,5.063768115942029,5.063768115942029
pytorch/pytorch,188478,1,1,1.0,1.0
pytorch/pytorch,188475,120,94,1.5584415584415585,1.2207792207792207
pytorch/pytorch,188474,380,380,3.9583333333333335,3.9583333333333335
pytorch/pytorch,188473,972,874,2.25,2.0231481481481484
pytorch/pytorch,188472,593,593,2.430327868852459,2.430327868852459
pytorch/pytorch,188471,36,29,1.565217391304348,1.2608695652173914
pytorch/pytorch,188470,2939,2870,3.532451923076923,3.449519230769231
langchain-ai/langchain,38636,9,9,1.0,1.0
langchain-ai/langchain,38635,1,1,1.0,1.0
langchain-ai/langchain,38634,11,11,11.0,11.0
langchain-ai/langchain,38633,89,89,6.357142857142857,6.357142857142857
langchain-ai/langchain,38632,0,0,0.0,0.0
langchain-ai/langchain,38631,2,2,1.0,1.0
langchain-ai/langchain,38628,3,3,1.0,1.0
langchain-ai/langchain,38625,37,37,4.625,4.625
langchain-ai/langchain,38624,385,385,2.162921348314607,2.162921348314607
langchain-ai/langchain,38623,287,287,6.1063829787234045,6.1063829787234045
langchain-ai/langchain,38622,146,146,1.489795918367347,1.489795918367347
langchain-ai/langchain,38621,617,617,5.3652173913043475,5.3652173913043475
langchain-ai/langchain,38620,24,24,2.0,2.0
langchain-ai/langchain,38619,1241,1241,4.683018867924528,4.683018867924528
langchain-ai/langchain,38618,1087,1087,4.262745098039216,4.262745098039216
langchain-ai/langchain,38617,190,190,1.450381679389313,1.450381679389313
langchain-ai/langchain,38616,272,272,3.1264367816091956,3.1264367816091956
langchain-ai/langchain,38615,271,271,2.8229166666666665,2.8229166666666665
langchain-ai/langchain,38614,501,501,5.894117647058824,5.894117647058824
langchain-ai/langchain,38613,93,93,3.72,3.72
langchain-ai/langchain,38611,154,154,3.5,3.5
langchain-ai/langchain,38609,425,425,3.2196969696969697,3.2196969696969697
langchain-ai/langchain,38608,5202,5202,5.1,5.1
langchain-ai/langchain,38607,218,218,5.45,5.45
langchain-ai/langchain,38606,2,2,1.0,1.0
langchain-ai/langchain,38604,2,2,1.0,1.0
