repo,pr_id,file_count,total_additions,total_deletions,commit_message_length,pr_description_length,reviewer_count,comment_count,has_ai_reviewer,label_count,pr_length,modified_function_count,ast_node_count,cfg_node_count,ast_density,cfg_density,merged
pytorch/pytorch,188755,14,132,46,1036,1541,0,0,False,7,1591,9,573,572,4.340909090909091,4.333333333333333,False
pytorch/pytorch,188754,1,1,1,26,720,1,0,False,6,797,0,1,1,1.0,1.0,False
pytorch/pytorch,188753,1,1,61,56,527,2,0,False,3,591,0,1,1,1.0,1.0,False
pytorch/pytorch,188752,5,29,2,26,196,0,0,False,3,270,3,117,117,4.0344827586206895,4.0344827586206895,False
pytorch/pytorch,188751,3,32,17,26,1594,0,0,False,3,1654,5,131,131,4.09375,4.09375,False
pytorch/pytorch,188749,3,64,14,26,2115,1,0,False,6,2181,7,133,133,2.078125,2.078125,False
pytorch/pytorch,188748,4,20,2,50,734,0,0,False,4,784,1,31,24,1.55,1.2,False
pytorch/pytorch,188747,4,1298,8,2387,753,0,0,False,2,791,89,4982,4691,3.782839787395596,3.561883067577829,False
pytorch/pytorch,188746,1,2,2,26,763,1,0,False,5,847,0,2,2,1.0,1.0,False
pytorch/pytorch,188745,5,29,2,26,272,0,0,False,3,346,3,117,117,4.0344827586206895,4.0344827586206895,False
pytorch/pytorch,188744,3,32,17,26,1670,0,0,False,3,1730,5,131,131,4.09375,4.09375,False
pytorch/pytorch,188743,1,4,4,26,667,1,0,False,5,724,0,4,4,1.0,1.0,False
pytorch/pytorch,188742,2,63,14,230,828,0,0,False,15,887,4,40,40,0.8163265306122449,0.8163265306122449,False
pytorch/pytorch,188741,7,235,149,78,106,2,1,False,3,181,1,316,283,1.234375,1.10546875,False
pytorch/pytorch,188739,3,161,1,234,166,0,0,False,3,196,10,681,681,1.594847775175644,1.594847775175644,False
pytorch/pytorch,188738,2,66,3,26,2332,0,0,False,3,2400,6,219,219,3.3181818181818183,3.3181818181818183,False
pytorch/pytorch,188737,4,82,39,26,2566,1,0,False,7,2638,11,71,71,0.8658536585365854,0.8658536585365854,False
pytorch/pytorch,188736,2,2,2,33,0,0,0,False,6,49,0,2,2,1.0,1.0,False
pytorch/pytorch,188735,1,2,2,59,479,2,2,True,5,544,0,2,2,1.0,1.0,False
pytorch/pytorch,188734,2,321,0,52,2416,0,0,False,2,2469,28,1333,1333,4.1526479750778815,4.1526479750778815,False
pytorch/pytorch,188732,3,50,10,3293,6250,0,0,False,4,6317,0,84,65,1.68,1.3,False
pytorch/pytorch,188731,3,201,315,440,507,0,0,False,2,563,2,293,247,1.4577114427860696,1.228855721393035,False
